Date,Away,Away_Score,Away_3rdQ,Home,Home_Score,Home_3rdQ,Home_Team_Wins
1109,Chicago Bulls,111,76,Philadelphia 76ers,88,62,0
1109,Orlando Magic,84,71,Indiana Pacers,97,72,1
1109,Minnesota Timberwolves,117,93,Atlanta Hawks,107,84,0
1109,Portland Trail Blazers,104,80,Denver Nuggets,108,79,1
1109,San Antonio Spurs,106,72,Sacramento Kings,88,69,0
1109,Memphis Grizzlies,92,66,LA Clippers,94,70,1
1109,Detroit Pistons,95,76,Golden State Warriors,109,80,1
1110,Oklahoma City Thunder,125,97,Washington Wizards,101,71,0
1110,Utah Jazz,114,80,Cleveland Cavaliers,118,80,1
1110,Los Angeles Lakers,88,66,Miami Heat,101,75,1
1110,New York Knicks,111,85,Toronto Raptors,109,85,0
1110,Dallas Mavericks,105,75,New Orleans Pelicans,120,94,1
1110,Charlotte Hornets,104,85,Minnesota Timberwolves,95,80,0
1110,Boston Celtics,99,76,Milwaukee Bucks,83,59,0
1111,Los Angeles Lakers,99,70,Orlando Magic,101,74,1
1111,Toronto Raptors,119,96,Philadelphia 76ers,103,77,0
1111,New York Knicks,93,79,Charlotte Hornets,95,69,1
1111,Indiana Pacers,102,81,Boston Celtics,91,74,0
1111,LA Clippers,108,78,Dallas Mavericks,118,84,1
1111,New Orleans Pelicans,98,75,Atlanta Hawks,106,76,1
1111,Golden State Warriors,100,74,Memphis Grizzlies,84,63,0
1111,Brooklyn Nets,106,79,Houston Rockets,98,83,0
1111,Milwaukee Bucks,102,80,Denver Nuggets,103,87,1
1111,Detroit Pistons,92,70,Sacramento Kings,101,86,1
1111,San Antonio Spurs,113,81,Portland Trail Blazers,101,75,0
1112,Utah Jazz,91,66,Miami Heat,92,66,1
1112,Golden State Warriors,129,97,Minnesota Timberwolves,116,87,0
1112,LA Clippers,104,73,Phoenix Suns,118,93,1
1113,Utah Jazz,93,63,Orlando Magic,102,80,1
1113,Minnesota Timberwolves,103,73,Indiana Pacers,107,90,1
1113,Cleveland Cavaliers,90,66,New York Knicks,84,72,0
1113,New Orleans Pelicans,81,61,Toronto Raptors,100,72,1
1113,Atlanta Hawks,93,69,Boston Celtics,106,80,1
1113,Philadelphia 76ers,85,61,Oklahoma City Thunder,102,71,1
1113,Portland Trail Blazers,100,70,Memphis Grizzlies,101,79,1
1113,Charlotte Hornets,97,75,Chicago Bulls,102,73,1
1113,Los Angeles Lakers,82,55,Dallas Mavericks,90,64,1
1113,Houston Rockets,98,74,Denver Nuggets,107,82,1
1113,Brooklyn Nets,109,82,Sacramento Kings,111,85,1
1114,Detroit Pistons,96,80,LA Clippers,101,81,1
1114,Orlando Magic,99,76,Washington Wizards,108,79,1
1114,Dallas Mavericks,110,82,Houston Rockets,98,67,0
1114,Cleveland Cavaliers,105,61,Milwaukee Bucks,108,70,1
1114,Philadelphia 76ers,83,60,San Antonio Spurs,92,76,1
1114,Denver Nuggets,81,54,Phoenix Suns,105,88,1
1114,Brooklyn Nets,99,77,Golden State Warriors,107,70,1
1115,New Orleans Pelicans,87,65,New York Knicks,95,68,1
1115,Memphis Grizzlies,114,81,Minnesota Timberwolves,106,79,0
1115,Portland Trail Blazers,94,66,Charlotte Hornets,106,89,1
1115,Utah Jazz,97,74,Atlanta Hawks,96,74,0
1115,Boston Celtics,100,72,Oklahoma City Thunder,85,74,0
1115,Toronto Raptors,101,82,Sacramento Kings,107,79,1
1115,Detroit Pistons,85,66,Los Angeles Lakers,97,66,1
1116,Dallas Mavericks,92,68,Philadelphia 76ers,86,65,0
1116,Indiana Pacers,95,75,Chicago Bulls,96,79,1
1116,Boston Celtics,111,87,Houston Rockets,95,68,0
1116,Oklahoma City Thunder,114,80,Memphis Grizzlies,122,79,1
1116,Portland Trail Blazers,80,60,San Antonio Spurs,93,65,1
1116,Los Angeles Lakers,101,75,Phoenix Suns,120,80,1
1117,Milwaukee Bucks,86,66,Washington Wizards,115,85,1
1117,Atlanta Hawks,88,68,Brooklyn Nets,90,72,1
1117,Minnesota Timberwolves,103,62,Miami Heat,91,69,0
1117,Cleveland Cavaliers,99,81,Detroit Pistons,104,75,1
1117,Charlotte Hornets,94,72,New York Knicks,102,80,1
1117,Denver Nuggets,115,83,New Orleans Pelicans,98,75,0
1117,Toronto Raptors,110,83,Golden State Warriors,115,90,1
1118,Indiana Pacers,112,84,Philadelphia 76ers,85,62,0
1118,Minnesota Timberwolves,101,76,Orlando Magic,104,71,1
1118,Brooklyn Nets,111,86,Charlotte Hornets,116,86,1
1118,Dallas Mavericks,106,70,Boston Celtics,102,78,0
1118,New Orleans Pelicans,103,74,Oklahoma City Thunder,110,80,1
1118,Portland Trail Blazers,103,76,Houston Rockets,108,61,1
1118,Sacramento Kings,97,79,Atlanta Hawks,103,81,1
1118,Denver Nuggets,98,79,San Antonio Spurs,109,93,1
1118,Toronto Raptors,89,64,Utah Jazz,93,59,1
1118,Chicago Bulls,103,72,Phoenix Suns,97,70,0
1119,Sacramento Kings,109,76,Miami Heat,116,82,1
1119,Milwaukee Bucks,100,79,Cleveland Cavaliers,115,86,1
1119,Golden State Warriors,124,85,LA Clippers,117,91,0
1120,Philadelphia 76ers,88,70,Charlotte Hornets,113,85,1
1120,Brooklyn Nets,95,67,Boston Celtics,120,91,1
1120,Detroit Pistons,96,68,Minnesota Timberwolves,86,65,0
1120,New York Knicks,93,73,Oklahoma City Thunder,90,62,0
1120,San Antonio Spurs,90,74,New Orleans Pelicans,104,78,1
1120,Houston Rockets,84,70,Memphis Grizzlies,96,79,1
1120,Utah Jazz,93,71,Dallas Mavericks,102,80,1
1120,Phoenix Suns,114,80,Denver Nuggets,107,84,0
1120,LA Clippers,91,73,Portland Trail Blazers,102,75,1
1120,Chicago Bulls,94,73,Golden State Warriors,106,77,1
1120,Toronto Raptors,102,76,Los Angeles Lakers,91,68,0
1121,Sacramento Kings,97,83,Orlando Magic,91,67,0
1121,Milwaukee Bucks,86,67,Indiana Pacers,123,90,1
1121,Atlanta Hawks,97,64,Cleveland Cavaliers,109,77,1
1121,Philadelphia 76ers,91,74,Miami Heat,96,67,1
1121,Washington Wizards,97,75,Detroit Pistons,95,73,0
1121,New York Knicks,107,79,Houston Rockets,102,77,0
1121,Memphis Grizzlies,82,61,San Antonio Spurs,92,74,1
1122,Toronto Raptors,91,71,LA Clippers,80,55,0
1122,Phoenix Suns,116,85,New Orleans Pelicans,122,92,1
1122,Boston Celtics,101,78,Brooklyn Nets,111,86,1
1122,Dallas Mavericks,114,85,Oklahoma City Thunder,117,87,1
1122,Golden State Warriors,118,91,Denver Nuggets,105,79,0
1122,Portland Trail Blazers,107,84,Los Angeles Lakers,93,74,0
1123,Orlando Magic,103,76,Cleveland Cavaliers,117,92,1
1123,Sacramento Kings,122,91,Charlotte Hornets,127,74,1
1123,New York Knicks,78,56,Miami Heat,95,73,1
1123,Philadelphia 76ers,95,73,Minnesota Timberwolves,100,74,1
1123,Detroit Pistons,88,62,Milwaukee Bucks,109,88,1
1123,Phoenix Suns,84,60,San Antonio Spurs,98,67,1
1123,Oklahoma City Thunder,111,88,Utah Jazz,89,68,0
1124,Indiana Pacers,123,93,Washington Wizards,106,82,0
1124,Boston Celtics,97,73,Atlanta Hawks,121,81,1
1124,Dallas Mavericks,96,60,Memphis Grizzlies,110,82,1
1124,LA Clippers,111,83,Denver Nuggets,94,72,0
1124,Chicago Bulls,93,71,Portland Trail Blazers,88,63,0
1124,Los Angeles Lakers,77,55,Golden State Warriors,111,89,1
1125,New York Knicks,91,63,Orlando Magic,100,72,1
1125,Washington Wizards,87,81,Charlotte Hornets,101,74,1
1125,Philadelphia 76ers,80,62,Boston Celtics,84,57,1
1125,Miami Heat,81,62,Detroit Pistons,104,83,1
1125,Cleveland Cavaliers,99,80,Toronto Raptors,103,82,1
1125,Memphis Grizzlies,102,82,Houston Rockets,93,77,0
1125,Sacramento Kings,129,96,Milwaukee Bucks,118,92,0
1125,Brooklyn Nets,99,76,Oklahoma City Thunder,110,83,1
1125,Atlanta Hawks,95,74,Minnesota Timberwolves,99,70,1
1125,Dallas Mavericks,83,60,San Antonio Spurs,88,63,1
1125,New Orleans Pelicans,120,88,Phoenix Suns,114,85,0
1125,Utah Jazz,102,73,LA Clippers,91,68,0
1127,Milwaukee Bucks,90,65,Orlando Magic,114,86,1
1127,Cleveland Cavaliers,95,72,Charlotte Hornets,90,76,0
1127,Miami Heat,97,74,New York Knicks,78,63,0
1127,Washington Wizards,78,56,Boston Celtics,111,79,1
1127,Philadelphia 76ers,114,80,Houston Rockets,116,91,1
1127,Atlanta Hawks,116,85,Memphis Grizzlies,101,82,0
1127,Detroit Pistons,87,71,Oklahoma City Thunder,103,76,1
1127,Chicago Bulls,92,63,Indiana Pacers,104,72,1
1127,San Antonio Spurs,91,70,Denver Nuggets,80,59,0
1127,Golden State Warriors,135,103,Phoenix Suns,116,81,0
1127,Minnesota Timberwolves,101,75,Sacramento Kings,91,68,0
1127,New Orleans Pelicans,90,72,LA Clippers,111,90,1
1128,Toronto Raptors,84,62,Washington Wizards,82,68,0
1128,Brooklyn Nets,88,68,Cleveland Cavaliers,90,69,1
1128,Atlanta Hawks,88,59,San Antonio Spurs,108,80,1
